Information_Type,PII_Type,Cluster_Membership_Type,NIST_Category,DHS_Category,HIPAA_Protected_Health_Information_Category,Risk_Level,GDPR_Category,GDPR_Sensitivity,GRPR_Likelihood,GDPR_Impact,GDPR_Importance_Weighting,GDPR_Risk_Score,Risk_Level_GDPR,Country,PII_Category,PII_Sensitivity_Score,PII_Likelihood_Score,PII_Impact_Score,PII_Importance_Weighting,PII_Risk_Score,Risk_Level_PII,Information Type Description ,GDPR Reference,GDPR Reference URL
United States Individual Taxpayer Identification,US_INDIVIDUAL_TAXPAYER_IDENTIFICATION,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Security Identifiers,5,4,4,4,0.69,High,"�A United States Individual Taxpayer Identification (ITIN) is a unique identifier that is used by individuals who do not have a Social Security Number (SSN) to file taxes in the United States. If a United States Individual Taxpayer Identification is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
US ITIN,US_ITIN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Anonymous Data,5,5,5,5,1,Very High,United States,Online Identifier,5,4,4,4,0.69,High,"�A US ITIN is a unique identifier that is used by individuals who do not have a Social Security Number (SSN) to file taxes in the United States. If a US ITIN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
URL,URL,Community Interaction,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Security Identifiers,5,4,4,4,0.69,High,"�A URL is a unique identifier that is used to identify websites. If a URL is compromised, it could be used to track someone's online activity or to redirect them to malicious websites.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
US Social Security Number,US_SSN,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,United States,Vehicle Identifiers,5,5,5,5,1,High,"�A Social Security Number (SSN) is a unique identifier that is used to track individuals' financial and social information in the United States. If a Social Security Number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Vehicle Registration Number,VEHICLE_REGISTRATION_NUMBER,Financial Information,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Personal Data,5,4,4,3,0.52,Medium,Universal,Biometric Data,3,3,3,3,0.36,Medium,"�A Vehicle Registration Number is a unique identifier that is used to identify vehicles. If a Vehicle Registration Number is compromised, it could be used to track someone's movements or to commit insurance fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Voice Print,VOICE_PRINT,Contact Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Demographic Information,5,4,4,4,0.69,High,"�A voice print is a unique identifier that is used to identify someone's voice. If a voice print is compromised, it could be used to impersonate someone or to gain unauthorized access to their accounts.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Weight,WEIGHT,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Contact Information,2,2,2,2,0.16,Low,�Weight can be used to identify someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Work Address,WORK_ADDRESS,Contact Information,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Contact Information,3,3,3,3,0.36,Medium,�A work address can be used to track someone down or send them unwanted mail or packages.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Work Contact Information,WORK_CONTACT_INFORMATION,Contact Information,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Contact Information,3,3,3,3,0.36,Medium,�Work contact information can be used to track someone down or send them unwanted calls or text messages.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Work Phone Number,WORK_PHONE_NUMBER,Contact Information,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Contact Information,3,3,3,3,0.36,Medium,�A work phone number can be used to track someone down or send them unwanted calls or text messages.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Zipcode,ZIPCODE,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�A zipcode can be used to track someone down or target them for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Title,TITLE_EN,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,5,4,4,4,0.69,High,United States,Security Identifiers,5,4,4,5,0.87,High,"�A Titulo is a unique identifier that is assigned to all Spanish citizens who have completed their secondary education. It is used by the government and other organizations to track individuals' educational records. If a Titulo is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
